# Date, Value
1960-01,0.000
1960-02,0.000
1960-03,0.000
1960-04,0.000
1960-05,0.000
1960-06,0.000
1960-07,0.000
1960-08,0.000
1960-09,0.000
1960-10,0.000
1960-11,0.000
1960-12,0.000
1961-01,1.0
1961-02,0.000
1961-03,0.000
1961-04,1.0
1961-05,0.000
1961-06,0.000
1961-07,1.0
1961-08,0.000
1961-09,0.000
1961-10,1.0
1961-11,0.000
1961-12,0.000
1962-01,0.000
1962-02,0.000
1962-03,0.000
1962-04,0.000
1962-05,0.000
1962-06,0.000
1962-07,0.000
1962-08,0.000
1962-09,0.000
1962-10,0.000
1962-11,0.000
1962-12,0.000
1963-01,0.000
1963-02,0.000
1963-03,0.000
1963-04,0.000
1963-05,0.000
1963-06,0.000
1963-07,0.000
1963-08,0.000
1963-09,0.000
1963-10,0.000
1963-11,0.000
1963-12,0.000
1964-01,0.000
1964-02,0.000
1964-03,0.000
1964-04,0.000
1964-05,0.000
1964-06,0.000
1964-07,0.000
1964-08,0.000
1964-09,0.000
1964-10,0.000
1964-11,0.000
1964-12,0.000
1965-01,0.000
1965-02,0.000
1965-03,0.000
1965-04,0.000
1965-05,0.000
1965-06,0.000
1965-07,0.000
1965-08,0.000
1965-09,0.000
1965-10,0.000
1965-11,0.000
1965-12,0.000
1966-01,0.000
1966-02,0.000
1966-03,0.000
1966-04,0.000
1966-05,0.000
1966-06,0.000
1966-07,0.000
1966-08,0.000
1966-09,0.000
1966-10,0.000
1966-11,0.000
1966-12,0.000
1967-01,0.000
1967-02,0.000
1967-03,0.000
1967-04,0.000
1967-05,0.000
1967-06,0.000
1967-07,0.000
1967-08,0.000
1967-09,0.000
1967-10,0.000
1967-11,0.000
1967-12,0.000
1968-01,0.000
1968-02,0.000
1968-03,0.000
1968-04,0.000
1968-05,0.000
1968-06,0.000
1968-07,0.000
1968-08,0.000
1968-09,0.000
1968-10,0.000
1968-11,0.000
1968-12,0.000
1969-01,0.000
1969-02,0.000
1969-03,0.000
1969-04,0.000
1969-05,0.000
1969-06,0.000
1969-07,0.000
1969-08,0.000
1969-09,0.000
1969-10,0.000
1969-11,0.000
1969-12,0.000
